id,qr_code_uid,qr_code_name
O000168-capitol,2017/03/19/65x9hf8n7m_O000168_capitol.png,O000168-capitol.png
P000601-capitol,2017/03/19/37cvo2i1oa_P000601_capitol.png,P000601-capitol.png
P000096-capitol,2017/03/19/9kxvcp70lu_P000096_capitol.png,P000096-capitol.png
P000588-capitol,2017/03/19/8kujwy2dop_P000588_capitol.png,P000588-capitol.png
P000592-capitol,2017/03/19/8jar3k546n_P000592_capitol.png,P000592-capitol.png
P000599-capitol,2017/03/19/9pzwfyvus3_P000599_capitol.png,P000599-capitol.png
M001163-capitol,2017/03/19/8qtcb3t7qp_M001163_capitol.png,M001163-capitol.png
P000523-capitol,2017/03/19/3s4tubiplm_P000523_capitol.png,P000523-capitol.png
R000586-capitol,2017/03/19/9afhztbx50_R000586_capitol.png,R000586-capitol.png
B001267-capitol,2017/03/19/3e6nhm4fdp_B001267_capitol.png,B001267-capitol.png
M000303-capitol,2017/03/19/6icjb3nfzn_M000303_capitol.png,M000303-capitol.png
M001179-capitol,2017/03/19/29j7wgxxfc_M001179_capitol.png,M001179-capitol.png
M001165-capitol,2017/03/19/7jmts8nnn3_M001165_capitol.png,M001165-capitol.png
M000312-capitol,2017/03/19/3prqbl350_M000312_capitol.png,M000312-capitol.png
M001159-capitol,2017/03/19/19sgghet81_M001159_capitol.png,M001159-capitol.png
R000487-capitol,2017/03/19/zfmuo320p_R000487_capitol.png,R000487-capitol.png
R000595-capitol,2017/03/19/671p0ejzb9_R000595_capitol.png,R000595-capitol.png
R000570-capitol,2017/03/19/85aqay52t4_R000570_capitol.png,R000570-capitol.png
R000577-capitol,2017/03/19/6qlm2nsmig_R000577_capitol.png,R000577-capitol.png
S001177-capitol,2017/03/19/5kby5xzz5d_S001177_capitol.png,S001177-capitol.png
S001176-capitol,2017/03/19/15p8v8h0ep_S001176_capitol.png,S001176-capitol.png
S001145-capitol,2017/03/19/5yepcshcm9_S001145_capitol.png,S001145-capitol.png
S001150-capitol,2017/03/19/7zo83f8nqc_S001150_capitol.png,S001150-capitol.png
S000148-capitol,2017/03/19/fz3sk43mu_S000148_capitol.png,S000148-capitol.png
S001189-capitol,2017/03/19/7uwm06f0o6_S001189_capitol.png,S001189-capitol.png
S000244-capitol,2017/03/19/3lb5j7mkl3_S000244_capitol.png,S000244-capitol.png
S001183-capitol,2017/03/19/5yjoc96ozn_S001183_capitol.png,S001183-capitol.png
S001184-capitol,2017/03/19/6sj0k13433_S001184_capitol.png,S001184-capitol.png
S001185-capitol,2017/03/19/391qee3k0n_S001185_capitol.png,S001185-capitol.png
S001165-capitol,2017/03/19/civchlq9j_S001165_capitol.png,S001165-capitol.png
S000480-capitol,2017/03/19/8o83atr1z2_S000480_capitol.png,S000480-capitol.png
R000575-capitol,2017/03/19/47h9u8vwt9_R000575_capitol.png,R000575-capitol.png
S000522-capitol,2017/03/19/1t73ekv5r_S000522_capitol.png,S000522-capitol.png
S000583-capitol,2017/03/19/19mtee2bpm_S000583_capitol.png,S000583-capitol.png
S001175-capitol,2017/03/19/22uif4fuhq_S001175_capitol.png,S001175-capitol.png
