state,chamber,name,code
NH,lower,Cheshire County No. 6,33206-lower
NH,lower,Coos County No. 4,33304-lower
NH,lower,Hillsborough County No. 29,33529-lower
NH,lower,Grafton County No. 7,33407-lower
NH,lower,Grafton County No. 2,33402-lower
NH,lower,Grafton County No. 9,33409-lower
NH,lower,Cheshire County No. 8,33208-lower
NH,lower,Merrimack County No. 1,33601-lower
NH,lower,Merrimack County No. 22,33622-lower
NH,lower,Merrimack County No. 2,33602-lower
NH,lower,Hillsborough County No. 6,33506-lower
NH,lower,Hillsborough County No. 31,33531-lower
NH,lower,Rockingham County No. 19,33719-lower
NH,lower,Hillsborough County No. 27,33527-lower
NH,lower,Carroll County No. 2,33102-lower
NH,lower,Sullivan County No. 8,33908-lower
NH,lower,Hillsborough County No. 10,33510-lower
OH,lower,State House Districts not defined,39ZZZ-lower
OH,upper,State Senate Districts not defined,39ZZZ-upper
PR,lower,State House Districts not defined,72ZZZ-lower
PR,upper,State Senate Districts not defined,72ZZZ-upper
SC,lower,HD-100,45100-lower
SC,lower,HD-060,45060-lower
SC,lower,HD-042,45042-lower
SC,lower,HD-085,45085-lower
SC,lower,HD-008,45008-lower
SC,lower,HD-071,45071-lower
SC,lower,HD-045,45045-lower
SC,lower,HD-114,45114-lower
SC,lower,HD-029,45029-lower
SC,lower,HD-070,45070-lower
SC,lower,HD-001,45001-lower
SC,lower,HD-118,45118-lower
SC,lower,HD-040,45040-lower
SC,lower,HD-010,45010-lower
SC,lower,HD-084,45084-lower
SC,lower,HD-122,45122-lower
SC,lower,HD-035,45035-lower
SC,lower,HD-013,45013-lower
SC,lower,HD-025,45025-lower
SC,lower,HD-064,45064-lower
SC,lower,HD-050,45050-lower
SC,lower,HD-065,45065-lower
SC,lower,HD-012,45012-lower
SC,lower,HD-082,45082-lower
SC,lower,HD-054,45054-lower
SC,lower,HD-066,45066-lower
SC,lower,HD-097,45097-lower
SC,lower,HD-086,45086-lower
SC,lower,HD-007,45007-lower
SC,lower,HD-004,45004-lower
SC,lower,HD-093,45093-lower
SC,lower,HD-090,45090-lower
SC,lower,HD-002,45002-lower
SC,lower,HD-073,45073-lower
SC,lower,HD-024,45024-lower
SC,lower,HD-017,45017-lower
SC,lower,HD-102,45102-lower
SC,lower,HD-062,45062-lower
SC,lower,HD-121,45121-lower
SC,lower,HD-067,45067-lower
SC,lower,HD-101,45101-lower
SC,lower,HD-080,45080-lower
SC,lower,HD-052,45052-lower
SC,lower,HD-105,45105-lower
SC,lower,HD-014,45014-lower
SC,lower,HD-028,45028-lower
SC,lower,HD-119,45119-lower
SC,lower,HD-116,45116-lower
SC,lower,HD-044,45044-lower
SC,lower,HD-041,45041-lower
SC,lower,HD-016,45016-lower
SC,lower,HD-120,45120-lower
SC,lower,HD-043,45043-lower
SC,lower,HD-003,45003-lower
SC,lower,HD-039,45039-lower
SC,lower,HD-058,45058-lower
SC,lower,HD-095,45095-lower
SC,lower,HD-057,45057-lower
SC,lower,HD-103,45103-lower
SC,lower,HD-030,45030-lower
SC,lower,HD-053,45053-lower
SC,lower,HD-115,45115-lower
SC,lower,HD-049,45049-lower
SC,lower,HD-091,45091-lower
SC,lower,HD-055,45055-lower
SC,lower,HD-033,45033-lower
SC,lower,HD-061,45061-lower
SC,lower,HD-077,45077-lower
SC,lower,HD-111,45111-lower
SC,lower,HD-006,45006-lower
SC,lower,HD-027,45027-lower
SC,lower,HD-112,45112-lower
SC,lower,HD-069,45069-lower
SC,lower,HD-018,45018-lower
SC,lower,HD-063,45063-lower
SC,lower,HD-056,45056-lower
SC,lower,HD-107,45107-lower
SC,lower,HD-011,45011-lower
SC,lower,HD-089,45089-lower
SC,lower,HD-108,45108-lower
SC,lower,HD-047,45047-lower
SC,lower,HD-113,45113-lower
SC,lower,HD-072,45072-lower
SC,lower,HD-009,45009-lower
SC,lower,HD-078,45078-lower
SC,lower,HD-092,45092-lower
SC,lower,HD-110,45110-lower
SC,lower,HD-068,45068-lower
SC,lower,HD-075,45075-lower
SC,lower,HD-036,45036-lower
SC,lower,HD-081,45081-lower
SC,lower,HD-038,45038-lower
SC,lower,HD-096,45096-lower
SC,lower,HD-104,45104-lower
SC,lower,HD-124,45124-lower
SC,lower,HD-046,45046-lower
SC,lower,HD-022,45022-lower
SC,lower,HD-023,45023-lower
SC,lower,HD-079,45079-lower
SC,lower,HD-019,45019-lower
SC,lower,HD-034,45034-lower
SC,lower,HD-037,45037-lower
SC,lower,HD-109,45109-lower
SC,lower,HD-032,45032-lower
SC,lower,HD-031,45031-lower
SC,lower,HD-123,45123-lower
SC,lower,HD-021,45021-lower
SC,lower,HD-098,45098-lower
SC,lower,HD-099,45099-lower
SC,lower,HD-117,45117-lower
SC,lower,HD-048,45048-lower
SC,lower,HD-015,45015-lower
SC,lower,HD-083,45083-lower
SC,lower,HD-051,45051-lower
SC,lower,HD-094,45094-lower
SC,lower,HD-076,45076-lower
SC,lower,HD-059,45059-lower
SC,lower,HD-087,45087-lower
SC,lower,HD-106,45106-lower
SC,lower,HD-020,45020-lower
SC,lower,HD-005,45005-lower
SC,lower,HD-088,45088-lower
SC,lower,HD-074,45074-lower
SC,lower,HD-026,45026-lower
VT,lower,Grand-Isle-Chittenden,50GIC-lower
VT,upper,Grand-Isle-Chittenden,50CGI-upper
