state,chamber,name,code
SC,lower,HD-090,090
SC,lower,HD-002,002
SC,lower,HD-073,073
SC,lower,HD-024,024
SC,lower,HD-017,017
SC,lower,HD-102,102
SC,lower,HD-062,062
SC,lower,HD-121,121
SC,lower,HD-067,067
SC,lower,HD-101,101
SC,lower,HD-080,080
SC,lower,HD-052,052
SC,lower,HD-105,105
SC,lower,HD-014,014
SC,lower,HD-028,028
SC,lower,HD-119,119
SC,lower,HD-116,116
SC,lower,HD-044,044
SC,lower,HD-041,041
SC,lower,HD-016,016
SC,lower,HD-120,120
SC,lower,HD-043,043
SC,lower,HD-003,003
SC,lower,HD-039,039
SC,lower,HD-058,058
SC,lower,HD-095,095
SC,lower,HD-057,057
SC,lower,HD-103,103
SC,lower,HD-030,030
SC,lower,HD-053,053
SC,lower,HD-115,115
SC,lower,HD-049,049
SC,lower,HD-091,091
SC,lower,HD-055,055
SC,lower,HD-033,033
SC,lower,HD-061,061
SC,lower,HD-077,077
SC,lower,HD-111,111
SC,lower,HD-006,006
SC,lower,HD-027,027
SC,lower,HD-112,112
SC,lower,HD-069,069
SC,lower,HD-018,018
SC,lower,HD-063,063
SC,lower,HD-056,056
SC,lower,HD-107,107
SC,lower,HD-011,011
SC,lower,HD-089,089
SC,lower,HD-108,108
SC,lower,HD-047,047
SC,lower,HD-113,113
SC,lower,HD-072,072
SC,lower,HD-009,009
SC,lower,HD-078,078
SC,lower,HD-092,092
SC,lower,HD-110,110
SC,lower,HD-068,068
SC,lower,HD-075,075
SC,lower,HD-036,036
SC,lower,HD-081,081
SC,lower,HD-038,038
SC,lower,HD-096,096
SC,lower,HD-104,104
SC,lower,HD-124,124
SC,lower,HD-046,046
SC,lower,HD-022,022
SC,lower,HD-023,023
SC,lower,HD-079,079
SC,lower,HD-019,019
SC,lower,HD-034,034
SC,lower,HD-037,037
SC,lower,HD-109,109
SC,lower,HD-032,032
SC,lower,HD-031,031
SC,lower,HD-123,123
SC,lower,HD-021,021
SC,lower,HD-098,098
SC,lower,HD-099,099
SC,lower,HD-117,117
SC,lower,HD-048,048
SC,lower,HD-015,015
SC,lower,HD-083,083
SC,lower,HD-051,051
SC,lower,HD-094,094
SC,lower,HD-076,076
SC,lower,HD-059,059
SC,lower,HD-087,087
SC,lower,HD-106,106
SC,lower,HD-020,020
SC,lower,HD-005,005
SC,lower,HD-088,088
SC,lower,HD-074,074
SC,lower,HD-026,026
VT,lower,Grand-Isle-Chittenden,GIC
VT,upper,Grand-Isle-Chittenden,CGI
